word,type,level,中文解釋
dry,adj./v.,1,
duck,n./v.,1,
duckling,n.,1,
during,prep.,1,
each,adj./pron./adv.,1,
eagle,n.,1,
ear,n.,1,
early,adj./adv.,1,
earth,n.,1,
ease,n./v.,1,
east,n./adj./adv.,1,
easy,adj.,1,
eat,v.,1,
edge,n./v.,1,
egg,n.,1,
eight,n./adj.,1,
eighteen,n./adj.,1,
eighty,n./adj.,1,
either(1),adj./pron./conj.,1,
either(2),adv.,1,
elephant,n.,1,
eleven,n./adj.,1,
else,adv.,1,
end,n./v.,1,
English,n./adj.,1,
enough,adj./n./adv.,1,
enter,v.,1,
equal,adj./n./v.,1,
even(1),adv.,1,
even(2),adj./v.,1,
evening,n.,1,
ever,adv.,1,
every,adj.,1,
examination/exam,n.,1,
examine,v.,1,
example,n.,1,
except/excepting,v./prep.,1,
eye,n./v.,1,
face,n./v.,1,
fact,n.,1,
factory,n.,1,
fall,v./n.,1,
false,adj.,1,
family,n.,1,
fan(1),n./v.,1,
far,adv./adj.,1,
farm,n./v.,1,
farmer,n.,1,
fast,adj./adv.,1,
fat,adj./n.,1,
father,n./v.,1,
fear,n./v.,1,
February/Feb.,n.,1,
feed,v./n.,1,
feel,v./n.,1,
feeling,n.,1,
feelings,n.,1,
few,adj./pron.,1,
fifteen,n./adj.,1,
fifty,n./adj.,1,
fight,v./n.,1,
fill,v./n.,1,
final,adj./n.,1,
find,v./n.,1,
fine(1),adj./adv.,1,
fine(2),n./v.,1,
finger,n./v.,1,
finish,v./n.,1,
fire(1),n./v.,1,
fire(2),v.,1,
first,adj./n./adv.,1,
fish,n./v.,1,
five,n./adj.,1,
floor,n./v.,1,
flower,n./v.,1,
fly(1),n.,1,
fly(2),v.,1,
fog,n./v.,1,
follow,v.,1,
food,n.,1,
foot,n./v.,1,
for,prep./conj.,1,
force,n./v.,1,
foreign,adj.,1,
forest,n.,1,
forget,v.,1,
fork,n./v.,1,
forty,n./adj.,1,
four,n./adj.,1,
fourteen,n./adj.,1,
free,adj./adv./v.,1,
fresh,adj.,1,
Friday/Fri.,n.,1,
friend,n.,1,
frog,n.,1,
from,prep.,1,
front,n./adj./v.,1,
fruit,n./v.,1,
full,adj.,1,
fun,n.,1,
funny,adj.,1,
game,n.,1,
garden,n./v.,1,
gas,n./v.,1,
general(1),adj.,1,
get,v.,1,
ghost,n.,1,
gift,n.,1,
girl,n.,1,
give,v.,1,
glad,adj.,1,
glass,n.,1,
glasses,n.,1,
go,v./n.,1,
god/goddess,n.,1,
gold,n./adj.,1,
good,adj./n./adv.,1,
good-bye/goodbye/good-by/goodby/bye-bye/bye,n.,1,
goose,n.,1,
grand,adj.,1,
grandchild,n.,1,
granddaughter,n.,1,
grandfather/grandpa,n.,1,
grandmother/grandma,n.,1,
grandson,n.,1,
grass,n.,1,
gray/grey,adj./n./v.,1,
great,adj./n.,1,
green,adj./n./v.,1,
ground,n./v.,1,
group,n./v.,1,
grow,v.,1,
guess,v./n.,1,
guest,n./v.,1,
guide,n./v.,1,
gun,n./v.,1,
hair,n.,1,
haircut,n.,1,
half,n./adj./adv.,1,
ham,n.,1,
hand,n./v.,1,
happen,v.,1,
happy,adj.,1,
hard,adj./adv.,1,
hat,n.,1,
hate,v./n.,1,
have,v./aux.,1,
he,pron.,1,
head,n./v.,1,
health,n.,1,
hear,v.,1,
heart,n.,1,
heat,n./v.,1,
heavy,adj.,1,
hello,n.,1,
help,v./n.,1,
her(s),pron.,1,
here,adv./n.,1,
high,adj./n./adv.,1,
hill,n.,1,
him,pron.,1,
his,pron.,1,
history,n.,1,
hit,v./n.,1,
hold,v./n.,1,
hole,n./v.,1,
holiday,n.,1,
home,n./adj./adv./v.,1,
homework,n.,1,
hope,v./n.,1,
horse,n.,1,
hot,adj.,1,
hour,n.,1,
house,n./v.,1,
how,adv.,1,
huge,adj.,1,
human,adj./n.,1,
hundred,n./adj.,1,
hungry,adj.,1,
hurt,v./n.,1,
husband,n.,1,
I,pron.,1,
ice,n.,1,
idea,n.,1,
if,conj.,1,
important,adj.,1,
in,prep./adv./adj.,1,
inch,n./v.,1,
inside,n./adj./adv./prep.,1,
interest,n./v.,1,
into,prep.,1,
iron,n./adj./v.,1,
is,v.,1,
it,pron.,1,
its,pron.,1,
jam(1),n.,1,
January/Jan.,n.,1,
job,n.,1,
join,v./n.,1,
joke,n./v.,1,
joy,n.,1,
juice,n.,1,
July/Jul.,n.,1,
jump,v./n.,1,
June/Jun.,n.,1,
just(1),adj.,1,
just(2),adv.,1,
keep,v./n.,1,
keeper,n.,1,
key(1),n./v.,1,
key(2),adj.,1,
kick,v./n.,1,
kid,n./v.,1,
kill,v./n.,1,
kind(1),adj.,1,
kind(2),n.,1,
king,n.,1,
kiss,v./n.,1,
kitchen,n.,1,
kite,n.,1,
kitten/kitty,n.,1,
knee,n./v.,1,
knife,n./v.,1,
know,v.,1,
lack,n./v.,1,
lady,n.,1,
lake,n.,1,
lamb,n./v.,1,
lamp,n.,1,
land(1),n.,1,
land(2),v.,1,
large,adj.,1,
last(1),adj./adv./n.,1,
last(2),v.,1,
late,adj./adv.,1,
laugh,v./n.,1,
law,n.,1,
lay,v.,1,
lazy,adj.,1,
lead(1),v./n.,1,
leader,n.,1,
leaf,n./v.,1,
learn,v.,1,
least,adj./pron./adv.,1,
leave,v./n.,1,
left,adj./adv./n.,1,
leg,n.,1,
less,adj./adv./pron./prep.,1,
lesson,n.,1,
let,v.,1,
letter(1),n.,1,
letter(2),n.,1,
level,n./adj.,1,
lie,n./v.,1,
life,n.,1,
lift,v./n.,1,
light(1),n./v./adj.,1,
light(2),adj./adv.,1,
like(1),prep.,1,
like(2),v./n.,1,
likely,adj./adv.,1,
lily,n.,1,
line,n./v.,1,
lion,n.,1,
lip,n.,1,
list,n./v.,1,
listen,v.,1,
little,adj./adv./n.,1,
live(1),adj.,1,
live(2),v.,1,
long(1),adj./adv.,1,
long(2),v.,1,
look,v./n.,1,
lot,n.,1,
loud,adj./adv.,1,
love,n./v.,1,
low,adj./n./adv.,1,
lucky,adj.,1,
lunch/luncheon,n./v.,1,
machine,n./v.,1,
mad,adj.,1,
mail,n./v.,1,
make,v.,1,
man,n./v.,1,
many,adj./pron.,1,
map,n./v.,1,
March/Mar.,n.,1,
market,n./v.,1,
marry,v.,1,
master(1),n.,1,
master(2),v.,1,
match(1),n.,1,
matter(1),n.,1,
matter(2),v.,1,
May,n.,1,
may,v.(aux.),1,
maybe,adv.,1,
me,pron.,1,
mean(1),v.,1,
mean(2),adj.,1,
meat,n.,1,
meet,v./n.,1,
middle,adj./n./v.,1,
mile,n.,1,
milk,n./v.,1,
mind,n./v.,1,
minute,n.,1,
Miss/miss,n.,1,
miss,v.,1,
mistake,n./v.,1,
moment,n.,1,
mommy/momma/mom/mam(m)a/ma/mummy,n.,1,
Monday/Mon.,n.,1,
money,n.,1,
monkey,n.,1,
month,n.,1,
moon,n.,1,
more,adj./pron./adv.,1,
morning,n.,1,
most,adj./pron./adv.,1,
mother,n./v.,1,
mountain,n.,1,
mouse,n.,1,
mouth,n./v.,1,
move(ment),v./(n.),1,
movie/motion picture/film/cinema,n.,1,
Mr./mister,n.,1,
Mrs.,n.,1,
Ms.,n.,1,
much,adj./pron./adv.,1,
mud,n.,1,
mug,n.,1,
music,n.,1,
must,v.(aux.)/n.,1,
my,pron.,1,
name,n./v.,1,
nation,n.,1,
nature,n.,1,
near,adj./adv./prep./v.,1,
neck,n./v.,1,
need,v./aux./n.,1,
never,adv.,1,
new,adj.,1,
news,n.,1,
newspaper,n.,1,
next,adj./adv.,1,
nice,adj.,1,
night,n.,1,
nine,n./adj.,1,
nineteen,n./adj.,1,
ninety,n./adj.,1,
no/nope,adj./adv./n.,1,
noise,n.,1,
noisy,adj.,1,
noon,n.,1,
nor,conj.,1,
north,n./adj./adv.,1,
nose,n./v.,1,
not,adv.,1,
note,n./v.,1,
nothing,pron./n.,1,
notice,n./v.,1,
November/Nov.,n.,1,
now,adv./n.,1,
number,n./v.,1,
nurse,n./v.,1,
o’clock,n.,1,
ocean,n.,1,
October/Oct.,n.,1,
of,prep.,1,
off,adv./prep./adj.,1,
office,n.,1,
officer,n.,1,
often,adv.,1,
oil,n./v.,1,
O.K./OK/okay,adj./adv./n./v.,1,
old,adj.,1,
on,prep./adv.,1,
once,adv./conj./n.,1,
one,n./adj./pron.,1,
only,adv./adj./conj.,1,
open,adj./v./n.,1,
or,conj.,1,
orange,n./adj.,1,
order,n./v.,1,
other,adj./pron.,1,
our(s),pron.,1,
out,adv./prep./n./adj./v.,1,
outside,n./adj./adv./prep.,1,
over,prep./adv.,1,
own,adj./v./pron.,1,
page,n.,1,
paint,n./v.,1,
pair,n./v.,1,
pants/trousers,n.,1,
papa/pop,n.,1,
paper,n./v.,1,
parent(s),n.,1,
park(1),n.,1,
park(2),v.,1,
part(1),n.,1,
part(2),v.,1,
party,n./v.,1,
pass,v./n.,1,
past(1),prep./adv.,1,
past(2),adj./n.,1,
pay(1)(ment),v./(n.),1,
pen,n./v.,1,
pencil,n./v.,1,
people,n./v.,1,
perhaps,adv.,1,
person,n.,1,
pet,n./v.,1,
piano,n.,1,
picture,n./v.,1,
pie,n.,1,
piece,n./v.,1,
pig,n./v.,1,
place,n./v.,1,
plan,n./v.,1,
plant(1),n.,1,
plant(2),n./v.,1,
play,v./n.,1,
player,n.,1,
playground,n.,1,
please,v.,1,
pocket,n./v.,1,
poetry,n.,1,
point(1),v.,1,
point(2),n.,1,
police,n./v.,1,
policeman/cop,n.,1,
pond,n.,1,
pool,n./v.,1,
poor,adj.,1,
popcorn,n.,1,
position,n./v.,1,
possible,adj.,1,
power,n./v.,1,
practice,n./v.,1,
prepare,v.,1,
pretty(1),adj.,1,
pretty(2),adv.,1,
price,n./v.,1,
print,v./n.,1,
problem,n.,1,
prove,v.,1,
public,adj./n.,1,
pull,v./n.,1,
purple,adj./n.,1,
purpose,n.,1,
push,v./n.,1,
put,v.,1,
queen,n.,1,
question,n./v.,1,
quick,adj./adv.,1,
quiet,adj./n./v.,1,
quite,adv.,1,
race(1),n./v.,1,
race(2),n.,1,
radio,n./v.,1,
railroad,n.,1,
rain,n./v.,1,
rainbow,n.,1,
raise,v./n.,1,
rat,n.,1,
reach,v./n.,1,
read,v.,1,
ready,adj./v.,1,
real,adj.,1,
reason,n./v.,1,
receive,v.,1,
red,adj./n.,1,
remember,v.,1,
report,v./n.,1,
rest,v./n.,1,
return,v./n.,1,
rice,n.,1,
rich,adj.,1,
ride,v./n.,1,
right(1),adj./adv./n.,1,
right(2),n.,1,
ring(1),n./v.,1,
ring(2),v./n.,1,
rise,v./n.,1,
river,n.,1,
road,n.,1,
robot,n.,1,
rock(1),n.,1,
roll,v./n.,1,
roof,n./v.,1,
room,n./v.,1,
rooster,n.,1,
root,n./v.,1,
rope,n./v.,1,
rose,n.,1,
round,adj./n./adv./prep./v.,1,
row(1),n.,1,
row(2),v.,1,
rub,v./n.,1,
rubber,n.,1,
rule,n./v.,1,
run,v.,1,
sad,adj.,1,
safe(1),adj.,1,
safe(2),n.,1,
sail,n./v.,1,
sale,n.,1,
salt,n./adj./v.,1,
same,adj./pron./adv.,1,
sand,n./v.,1,
Saturday/Sat.,n.,1,
save,v.,1,
saw,n./v.,1,
say,v.,1,
scare,v./n.,1,
scene,n.,1,
school,n./v.,1,
sea,n.,1,
season,n.,1,
seat,n./v.,1,
second(1),adj./n./adv.,1,
second(2),n.,1,
see,v.,1,
seed,n./v.,1,
seem,v.,1,
seesaw,n./v.,1,
self,n.,1,
selfish,adj.,1,
sell,v.,1,
send,v.,1,
sense,n./v.,1,
sentence,n./v.,1,
September/Sept.,n.,1,
serve,v.,1,
service,n./v.,1,
set(1),n.,1,
set(2),v.,1,
seven,n./adj.,1,
seventeen,n./adj.,1,
seventy,n./adj.,1,
several,adj./pron.,1,
shake,v./n.,1,
shall,v.(aux.),1,
shape,n./v.,1,
shark,n.,1,
sharp,adj./adv.,1,
she,pron./n.,1,
sheep,n.,1,
sheet,n.,1,
shine,v./n.,1,
ship,n./v.,1,
shirt,n.,1,
shoe(s),n.,1,
shop(1)/store,n.,1,
shop(2),v.,1,
shore,n.,1,
short,adj.,1,
shot,n.,1,
shoulder,n./v.,1,
shout,v./n.,1,
show,v./n.,1,
shut,v.,1,
shy,adj.,1,
sick,adj.,1,
side,n.,1,
sight,n./v.,1,
silly,adj.,1,
silver,n./adj.,1,
simple,adj.,1,
since,prep./conj./adv.,1,
sing,v.,1,
singer,n.,1,
sir,n.,1,
sister,n.,1,
sit,v.,1,
six,n./adj.,1,
sixteen,n./adj.,1,
sixty,n./adj.,1,
size,n./v.,1,
skill,n.,1,
skin,n./v.,1,
sky,n.,1,
sleep,n./v.,1,
slow,adj./adv./v.,1,
small,adj./n./adv.,1,
smart,adj.,1,
smell,n./v.,1,
smile,v./n.,1,
smoke,n./v.,1,
snake,n./v.,1,
snow,n./v.,1,
soap,n./v.,1,
soda,n.,1,
sofa,n.,1,
soft,adj.,1,
soil,n./v.,1,
some,adj./pron.,1,
someone,n./pron.,1,
something,n./pron.,1,
sometimes,adv.,1,
son,n.,1,
song,n.,1,
soon,adv.,1,
sorry,adj.,1,
soul,n.,1,
sound(1),adj.,1,
sound(2),n./v.,1,
soup,n.,1,
sour,adj./n./v.,1,
south,n./adj./adv.,1,
space,n./v.,1,
speak,v.,1,
special,adj.,1,
speech,n.,1,
spell,v.,1,
spend,v.,1,
spoon,n./v.,1,
sport,n./v.,1,
spring(1),n.,1,
stair,n.,1,
stand,v./n.,1,
star,n./v.,1,
start,v./n.,1,
state(1),n.,1,
state(ment)(2),v./(n.),1,
station,n./v.,1,
stay,v./n.,1,
step,n./v.,1,
still(1),adj.,1,
still(2),adv.,1,
stone,n./v.,1,
stop,v./n.,1,
store,n./v.,1,
story(1),n.,1,
story(2),n.,1,
strange,adj.,1,
street,n.,1,
strong,adj.,1,
student,n.,1,
study(1),n.,1,
study(2),v.,1,
stupid,adj.,1,
such,adj./pron.,1,
sugar,n./v.,1,
summer,n.,1,
sun,n./v.,1,
Sunday/Sun.,n.,1,
super,adj./adv.,1,
supper,n.,1,
sure,adj./adv.,1,
surprise,n./v.,1,
sweet,adj.,1,
swim,v./n.,1,
table,n.,1,
tail,n./v.,1,
take,v.,1,
tale,n.,1,
talk,v./n.,1,
tall,adj.,1,
taste,n./v.,1,
taxicab/taxi/cab,n.,1,
tea,n.,1,
teach,v.,1,
teacher,n.,1,
tell,v.,1,
ten,n./adj.,1,
than,prep./conj.,1,
thank,v./n.,1,
that,pron./adj./adv./conj.,1,
the,art.,1,
their(s),pron.,1,
them,pron.,1,
then,adv./adj./n./conj.,1,
there,adv./n.,1,
these,pron./adj.,1,
they,pron.,1,
thing,n.,1,
think,v.,1,
third,adj./n./adv.,1,
thirteen,n./adj.,1,
thirty,n./adj.,1,
this,pron./adj./adv.,1,
those,pron./adj.,1,
though,conj./adv.,1,
thought,n.,1,
thousand,n./adj.,1,
three,n./adj.,1,
throw,v./n.,1,
Thursday/Thurs./Thur.,n.,1,
thus,adv.,1,
ticket,n./v.,1,
tie(1),n.,1,
tie(2),v.,1,
tiger,n.,1,
time,n./v.,1,
tiny,adj.,1,
tire(1),n.,1,
tire(2),v.,1,
to,prep.,1,
today,adv./n.,1,
together,adv.,1,
tomorrow,adv./n.,1,
tone,n.,1,
tonight,adv./n.,1,
too,adv.,1,
tool,n./v.,1,
top,n./adj./v.,1,
total,adj./n./v.,1,
touch,v./n.,1,
toward(s),prep.,1,
town,n.,1,
toy,n./v.,1,
train(1),n.,1,
train(2),v.,1,
tree,n.,1,
trip,n./v.,1,
trouble,n./v.,1,
true,adj./adv./v.,1,
try,v./n.,1,
T-shirt,n.,1,
Tuesday/Tues./Tue.,n.,1,
tummy,n.,1,
turn,v./n.,1,
twelve,n./adj.,1,
twenty,n./adj.,1,
twice,adv.,1,
two,n./adj.,1,
uncle,n.,1,
under,prep./adv.,1,
understand,v.,1,
unit,n.,1,
until/till,prep./conj.,1,
up,adv./prep./adj./n./v.,1,
upstairs,adv./adj./n.,1,
us,pron.,1,
use,v./n.,1,
useful,adj.,1,
vegetable,n.,1,
very(1),adv.,1,
view,n./v.,1,
visit,v./n.,1,
voice,n./v.,1,
wait,v./n.,1,
walk,v./n.,1,
wall,n./v.,1,
want,v./n.,1,
war,n./v.,1,
warm,adj./v./n.,1,
wash,v./n.,1,
waste,v./n.,1,
watch(1),n.,1,
watch(2),v./n.,1,
water,n./v.,1,
way,n.,1,
we,pron.,1,
weak,adj.,1,
wear,v./n.,1,
weather,n./v.,1,
wedding,n.,1,
Wednesday/Wed./Weds.,n.,1,
week,n.,1,
weekend,n./v.,1,
weigh,v.,1,
weight,n.,1,
welcome,v./adj./n.,1,
well(1),adj./adv.,1,
well(2),n.,1,
west,n./adj./adv.,1,
what,pron./adj.,1,
when,adv./pron./conj.,1,
where,adv./conj./pron./n.,1,
whether,conj.,1,
which,pron./adj.,1,
while(1),conj.,1,
while(2),n.,1,
while(3),v.,1,
white,adj./n.,1,
who,pron.,1,
whole,adj./n.,1,
whom,pron.,1,
whose,pron.,1,
why,adv./n.,1,
wide,adj./adv./n.,1,
wife,n.,1,
will(1),n.,1,
will(2),v.(aux.),1,
win,v./n.,1,
wind(1),n.,1,
wind(2),v.,1,
window,n.,1,
wine,n./v.,1,
winter,n.,1,
wish,v./n.,1,
with,prep.,1,
woman,n.,1,
wood(s),n.,1,
word,n./v.,1,
work,v./n.,1,
worker,n.,1,
world,n.,1,
worm,n./v.,1,
worry,v./n.,1,
worse,adj./adv./n.,1,
worst,adj./adv./n./v.,1,
write,v.,1,
writer,n.,1,
wrong,adj./adv./n./v.,1,
yam/sweet potato,n.,1,
year,n.,1,
yellow,adj./n./v.,1,
yes/yeah,adv./n.,1,
yesterday,adv./n.,1,
yet,adv./conj.,1,
you,pron.,1,
young,adj./n.,1,
your(s),pron.,1,
yucky,adj.,1,
yummy,adj.,1,
zero,n./v.,1,
zoo,n.,1,
ability,n.,2,
abroad,adv.,2,
absence,n.,2,
absent,adj./v.,2,
accept,v.,2,
active,adj.,2,
addition,n.,2,
advance,n./v.,2,
affair,n.,2,
aid,n./v.,2,
aim,n./v.,2,
aircraft,n.,2,
airline,n.,2,
alarm,n./v.,2,
album,n.,2,
alike,adj./adv.,2,
alive,adj.,2,
almond,n.,2,
aloud,adv.,2,
alphabet,n.,2,
although,conj.,2,
altogether,adv.,2,
amount,n./v.,2,
ancient,adj.,2,
ankle,n.,2,
anybody/anyone,pron.,2,
anyhow,adv.,2,
anytime,adv.,2,
anyway,adv.,2,
anywhere/anyplace,adv.,2,
apartment,n.,2,
appearance,n.,2,
appetite,n.,2,
apply,v.,2,
apron,n.,2,
argue(argument),v./(n.),2,
arm(2),v.,2,
armchair,n.,2,
arrange(ment),v./(n.),2,
arrest,v./n.,2,
arrive,v.,2,
arrow,n.,2,
article(2)/essay,n.,2,
artist,n.,2,
asleep,adj.,2,
assistant,n.,2,
attack,v./n.,2,
attend,v.,2,
attention,n.,2,
avoid,v.,2,
baby-sit,v.,2,
baby-sitter,n.,2,
backward,adj.,2,
backward(s),adv.,2,
bake,v.,2,
bakery,n.,2,
balcony,n.,2,
bamboo,n.,2,
banker,n.,2,
barbecue/BBQ,n./v.,2,
bark(1),n./v.,2,
bark(2),n.,2,
basement,n.,2,
basics,n.,2,
basis,n.,2,
battle,n./v.,2,
bead,n./v.,2,
bean,n.,2,
bear(2),v.,2,
beard,n.,2,
bedroom,n.,2,
beef,n.,2,
beep,n./v.,2,
beer,n.,2,
beetle,n.,2,
beg,v.,2,
beginner,n.,2,
belief,n.,2,
believable,adj.,2,
belt,n./v.,2,
bench,n.,2,
bend,v./n.,2,
besides,prep./adv.,2,
bet,v./n.,2,
beyond,prep./adv.,2,
bill,n./v.,2,
bind,v.,2,
bitter,adj.,2,
blackboard,n.,2,
blank,adj./n.,2,
blind,adj./v.,2,
bloody,adj.,2,
board(1),n.,2,
board(2),v.,2,
boil,v./n.,2,
bomb,n./v.,2,
bony,adj.,2,
bookcase,n.,2,
borrow,v.,2,
boss,n./v.,2,
bother,v./n.,2,
bottle,n./v.,2,
bow(1),n./v.,2,
bow(2),v./n,2,
bowling,n.,2,
brain,n.,2,
branch,n./v.,2,
brand,n./v.,2,
brick,n.,2,
brief,adj./n./v.,2,
broad,adj.,2,
broadcast,v./n.,2,
brunch,n.,2,
brush,n./v.,2,
bun/roll,n.,2,
bundle,n.,2,
burn,v./n.,2,
burst,v./n.,2,
business,n.,2,
button,n./v.,2,
cabbage,n.,2,
cable,n./v.,2,
café/cafe,n.,2,
cafeteria,n.,2,
calendar,n.,2,
calm,adj./n./v.,2,
cancel,v.,2,
cancer,n.,2,
candle,n.,2,
captain,n.,2,
carpet,n./v.,2,
carrot,n.,2,
cart,n./v.,2,
cartoon,n./v.,2,
cash,n./v.,2,
cassette,n.,2,
castle,n.,2,
cave,n./v.,2,
ceiling,n.,2,
cell,n.,2,
central,adj.,2,
century,n.,2,
cereal,n.,2,
chalk,n./v.,2,
change(1),v./n.,2,
change(2),n.,2,
character,n.,2,
charge,v./n.,2,
cheap,adj./adv.,2,
cheat,v./n.,2,
chemical,adj./n.,2,
chess,n.,2,
childish,adj.,2,
childlike,adj.,2,
chin,n.,2,
chocolate,n.,2,
choice,n./adj.,2,
choose,v.,2,
chopstick(s),n.,2,
circle,n./v.,2,
citizen,n.,2,
claim,v./n.,2,
clap,v./n.,2,
classic,adj./n.,2,
claw,n./v.,2,
clay,n.,2,
